設立別,學程別,群科別,畢業生人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數,正在接受職業訓練比率,正在軍中服役比率,需要工作而未找到比率,補習或準備升學比率,健康不良在家休養比率,準備出國比率,其他比率
國立,綜合高中,土木與建築群,123 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.81 ,0.00 
國立,綜合高中,商業與管理群,724 ,3 ,8 ,7 ,12 ,1 ,0 ,2 ,0.41 ,1.10 ,0.97 ,1.66 ,0.14 ,0.00 ,0.28 
國立,綜合高中,外語群,190 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.53 
國立,綜合高中,設計群,191 ,0 ,1 ,1 ,1 ,0 ,0 ,1 ,0.00 ,0.52 ,0.52 ,0.52 ,0.00 ,0.00 ,0.52 
國立,綜合高中,農業群,59 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,5.08 ,0.00 ,0.00 ,0.00 
國立,綜合高中,食品群,163 ,0 ,2 ,1 ,0 ,0 ,0 ,4 ,0.00 ,1.23 ,0.61 ,0.00 ,0.00 ,0.00 ,2.45 
國立,綜合高中,家政群,31 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0.00 ,3.23 ,3.23 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,餐旅群,403 ,0 ,7 ,5 ,1 ,1 ,2 ,10 ,0.00 ,1.74 ,1.24 ,0.25 ,0.25 ,0.50 ,2.48 
國立,綜合高中,水產群,32 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0.00 ,6.25 ,0.00 ,0.00 ,0.00 ,0.00 ,3.13 
國立,綜合高中,海事群,17 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0.00 ,11.76 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,綜合高中,藝術群,9 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11.11 
國立,綜合高中,綜合,66 ,0 ,1 ,1 ,1 ,0 ,0 ,2 ,0.00 ,1.52 ,1.52 ,1.52 ,0.00 ,0.00 ,3.03 
國立,實用技能學程,機械群,390 ,0 ,11 ,7 ,0 ,3 ,0 ,3 ,0.00 ,2.82 ,1.79 ,0.00 ,0.77 ,0.00 ,0.77 
國立,實用技能學程,動力機械群,88 ,1 ,4 ,6 ,2 ,0 ,0 ,2 ,1.14 ,4.55 ,6.82 ,2.27 ,0.00 ,0.00 ,2.27 
國立,實用技能學程,電機與電子群,375 ,0 ,15 ,10 ,4 ,1 ,0 ,4 ,0.00 ,4.00 ,2.67 ,1.07 ,0.27 ,0.00 ,1.07 
國立,實用技能學程,土木與建築群,123 ,0 ,7 ,3 ,1 ,0 ,0 ,0 ,0.00 ,5.69 ,2.44 ,0.81 ,0.00 ,0.00 ,0.00 
國立,實用技能學程,商業與管理群,425 ,1 ,12 ,10 ,3 ,1 ,0 ,1 ,0.24 ,2.82 ,2.35 ,0.71 ,0.24 ,0.00 ,0.24 
國立,實用技能學程,設計群,132 ,1 ,1 ,5 ,0 ,0 ,0 ,0 ,0.76 ,0.76 ,3.79 ,0.00 ,0.00 ,0.00 ,0.00 
國立,實用技能學程,農業群,143 ,1 ,1 ,3 ,1 ,0 ,0 ,0 ,0.70 ,0.70 ,2.10 ,0.70 ,0.00 ,0.00 ,0.00 
國立,實用技能學程,食品群,193 ,0 ,3 ,5 ,1 ,1 ,0 ,0 ,0.00 ,1.55 ,2.59 ,0.52 ,0.52 ,0.00 ,0.00 
國立,實用技能學程,餐旅群,370 ,0 ,5 ,12 ,1 ,2 ,0 ,1 ,0.00 ,1.35 ,3.24 ,0.27 ,0.54 ,0.00 ,0.27 
國立,實用技能學程,水產群,40 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0.00 ,7.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,實用技能學程,海事群,56 ,4 ,6 ,1 ,0 ,0 ,0 ,1 ,7.14 ,10.71 ,1.79 ,0.00 ,0.00 ,0.00 ,1.79 
國立,實用技能學程,美容造型群,162 ,0 ,0 ,9 ,0 ,2 ,0 ,1 ,0.00 ,0.00 ,5.56 ,0.00 ,1.23 ,0.00 ,0.62 
國立,進修部,普通科,108 ,1 ,4 ,3 ,3 ,0 ,0 ,3 ,0.93 ,3.70 ,2.78 ,2.78 ,0.00 ,0.00 ,2.78 
國立,進修部,機械群,422 ,5 ,34 ,2 ,1 ,1 ,0 ,1 ,1.18 ,8.06 ,0.47 ,0.24 ,0.24 ,0.00 ,0.24 
國立,進修部,動力機械群,146 ,0 ,25 ,6 ,0 ,0 ,0 ,1 ,0.00 ,17.12 ,4.11 ,0.00 ,0.00 ,0.00 ,0.68 
國立,進修部,電機與電子群,385 ,0 ,44 ,6 ,4 ,3 ,0 ,3 ,0.00 ,11.43 ,1.56 ,1.04 ,0.78 ,0.00 ,0.78 
國立,進修部,化工群,25 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0.00 ,0.00 ,4.00 ,0.00 ,0.00 ,0.00 ,4.00 
國立,進修部,土木與建築群,24 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,8.33 ,0.00 ,0.00 ,0.00 ,0.00 
國立,進修部,商業與管理群,880 ,2 ,21 ,23 ,7 ,6 ,1 ,31 ,0.23 ,2.39 ,2.61 ,0.80 ,0.68 ,0.11 ,3.52 
國立,進修部,外語群,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
國立,進修部,設計群,189 ,0 ,6 ,3 ,4 ,0 ,0 ,0 ,0.00 ,3.17 ,1.59 ,2.12 ,0.00 ,0.00 ,0.00 
國立,進修部,農業群,51 ,0 ,1 ,1 ,3 ,0 ,0 ,4 ,0.00 ,1.96 ,1.96 ,5.88 ,0.00 ,0.00 ,7.84 
國立,進修部,食品群,189 ,0 ,11 ,3 ,2 ,2 ,1 ,10 ,0.00 ,5.82 ,1.59 ,1.06 ,1.06 ,0.53 ,5.29 
國立,進修部,家政群,187 ,2 ,4 ,6 ,1 ,1 ,1 ,6 ,1.07 ,2.14 ,3.21 ,0.53 ,0.53 ,0.53 ,3.21 
國立,進修部,餐旅群,191 ,0 ,4 ,3 ,0 ,0 ,0 ,6 ,0.00 ,2.09 ,1.57 ,0.00 ,0.00 ,0.00 ,3.14 
縣市立,普通科,普通科,47494 ,11 ,136 ,46 ,1357 ,11 ,39 ,64 ,0.02 ,0.29 ,0.10 ,2.86 ,0.02 ,0.08 ,0.13 
縣市立,專業群科,機械群,2429 ,5 ,32 ,6 ,53 ,0 ,1 ,3 ,0.21 ,1.32 ,0.25 ,2.18 ,0.00 ,0.04 ,0.12 
縣市立,專業群科,動力機械群,834 ,1 ,11 ,7 ,44 ,1 ,0 ,0 ,0.12 ,1.32 ,0.84 ,5.28 ,0.12 ,0.00 ,0.00 
縣市立,專業群科,電機與電子群,3620 ,2 ,12 ,7 ,66 ,4 ,2 ,1 ,0.06 ,0.33 ,0.19 ,1.82 ,0.11 ,0.06 ,0.03 
縣市立,專業群科,化工群,553 ,0 ,4 ,0 ,8 ,0 ,1 ,0 ,0.00 ,0.72 ,0.00 ,1.45 ,0.00 ,0.18 ,0.00 
縣市立,專業群科,土木與建築群,629 ,0 ,6 ,1 ,12 ,0 ,0 ,0 ,0.00 ,0.95 ,0.16 ,1.91 ,0.00 ,0.00 ,0.00 
縣市立,專業群科,商業與管理群,3468 ,3 ,15 ,11 ,31 ,2 ,6 ,0 ,0.09 ,0.43 ,0.32 ,0.89 ,0.06 ,0.17 ,0.00 
縣市立,專業群科,外語群,637 ,0 ,1 ,1 ,8 ,0 ,4 ,0 ,0.00 ,0.16 ,0.16 ,1.26 ,0.00 ,0.63 ,0.00 
縣市立,專業群科,設計群,1276 ,3 ,2 ,4 ,18 ,0 ,1 ,5 ,0.24 ,0.16 ,0.31 ,1.41 ,0.00 ,0.08 ,0.39 
縣市立,專業群科,農業群,272 ,0 ,2 ,2 ,1 ,0 ,0 ,0 ,0.00 ,0.74 ,0.74 ,0.37 ,0.00 ,0.00 ,0.00 
縣市立,專業群科,食品群,139 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0.72 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,專業群科,家政群,376 ,0 ,0 ,1 ,2 ,1 ,1 ,0 ,0.00 ,0.00 ,0.27 ,0.53 ,0.27 ,0.27 ,0.00 
縣市立,專業群科,餐旅群,260 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.38 
縣市立,專業群科,藝術群,62 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.00 ,1.61 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,專業群科,綜合,448 ,33 ,2 ,70 ,3 ,11 ,0 ,4 ,7.37 ,0.45 ,15.63 ,0.67 ,2.46 ,0.00 ,0.89 
縣市立,綜合高中,學術群,2802 ,0 ,5 ,1 ,72 ,0 ,2 ,7 ,0.00 ,0.18 ,0.04 ,2.57 ,0.00 ,0.07 ,0.25 
縣市立,綜合高中,機械群,58 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,電機與電子群,141 ,0 ,5 ,0 ,1 ,0 ,0 ,0 ,0.00 ,3.55 ,0.00 ,0.71 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,化工群,30 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,土木與建築群,85 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,商業與管理群,408 ,0 ,1 ,0 ,3 ,0 ,0 ,1 ,0.00 ,0.25 ,0.00 ,0.74 ,0.00 ,0.00 ,0.25 
縣市立,綜合高中,外語群,62 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,1.61 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,設計群,201 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,農業群,11 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,家政群,49 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,餐旅群,106 ,0 ,0 ,6 ,1 ,0 ,0 ,0 ,0.00 ,0.00 ,5.66 ,0.94 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,藝術群,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,綜合高中,綜合,13 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,15.38 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,機械群,127 ,0 ,4 ,2 ,2 ,0 ,0 ,0 ,0.00 ,3.15 ,1.57 ,1.57 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,動力機械群,60 ,0 ,8 ,1 ,0 ,0 ,0 ,0 ,0.00 ,13.33 ,1.67 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,電機與電子群,121 ,2 ,9 ,7 ,0 ,0 ,0 ,0 ,1.65 ,7.44 ,5.79 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,土木與建築群,23 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,4.35 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,商業與管理群,91 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,1.10 ,1.10 ,0.00 
縣市立,實用技能學程,設計群,50 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,2.00 
縣市立,實用技能學程,食品群,25 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,實用技能學程,餐旅群,89 ,0 ,3 ,0 ,0 ,1 ,0 ,8 ,0.00 ,3.37 ,0.00 ,0.00 ,1.12 ,0.00 ,8.99 
縣市立,實用技能學程,美容造型群,29 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,進修部,普通科,302 ,1 ,0 ,1 ,2 ,1 ,0 ,72 ,0.33 ,0.00 ,0.33 ,0.66 ,0.33 ,0.00 ,23.84 
縣市立,進修部,機械群,354 ,1 ,9 ,2 ,4 ,1 ,0 ,0 ,0.28 ,2.54 ,0.56 ,1.13 ,0.28 ,0.00 ,0.00 
縣市立,進修部,動力機械群,118 ,0 ,1 ,6 ,2 ,0 ,0 ,0 ,0.00 ,0.85 ,5.08 ,1.69 ,0.00 ,0.00 ,0.00 
縣市立,進修部,電機與電子群,399 ,1 ,7 ,10 ,7 ,1 ,1 ,2 ,0.25 ,1.75 ,2.51 ,1.75 ,0.25 ,0.25 ,0.50 
縣市立,進修部,化工群,46 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0.00 ,2.17 ,0.00 ,0.00 ,0.00 ,0.00 ,2.17 
縣市立,進修部,土木與建築群,64 ,0 ,0 ,2 ,2 ,0 ,0 ,0 ,0.00 ,0.00 ,3.13 ,3.13 ,0.00 ,0.00 ,0.00 
縣市立,進修部,商業與管理群,487 ,1 ,11 ,7 ,1 ,1 ,1 ,9 ,0.21 ,2.26 ,1.44 ,0.21 ,0.21 ,0.21 ,1.85 
縣市立,進修部,外語群,41 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
縣市立,進修部,設計群,84 ,0 ,2 ,2 ,1 ,1 ,0 ,1 ,0.00 ,2.38 ,2.38 ,1.19 ,1.19 ,0.00 ,1.19 
縣市立,進修部,食品群,45 ,0 ,1 ,2 ,2 ,0 ,0 ,2 ,0.00 ,2.22 ,4.44 ,4.44 ,0.00 ,0.00 ,4.44 
縣市立,進修部,家政群,14 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.14 
縣市立,進修部,餐旅群,32 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,0.00 ,0.00 ,0.00 ,3.13 ,0.00 ,0.00 ,6.25 
私立,普通科,普通科,27751 ,26 ,80 ,30 ,835 ,14 ,88 ,16 ,0.09 ,0.29 ,0.11 ,3.01 ,0.05 ,0.32 ,0.06 
私立,專業群科,機械群,1953 ,6 ,35 ,29 ,13 ,0 ,2 ,6 ,0.31 ,1.79 ,1.48 ,0.67 ,0.00 ,0.10 ,0.31 
私立,專業群科,動力機械群,5006 ,9 ,233 ,132 ,31 ,2 ,0 ,39 ,0.18 ,4.65 ,2.64 ,0.62 ,0.04 ,0.00 ,0.78 
私立,專業群科,電機與電子群,8910 ,35 ,237 ,111 ,72 ,18 ,8 ,30 ,0.39 ,2.66 ,1.25 ,0.81 ,0.20 ,0.09 ,0.34 
私立,專業群科,土木與建築群,198 ,1 ,0 ,3 ,9 ,1 ,2 ,2 ,0.51 ,0.00 ,1.52 ,4.55 ,0.51 ,1.01 ,1.01 
私立,專業群科,商業與管理群,8370 ,12 ,92 ,104 ,52 ,12 ,8 ,22 ,0.14 ,1.10 ,1.24 ,0.62 ,0.14 ,0.10 ,0.26 
私立,專業群科,外語群,5145 ,5 ,21 ,23 ,36 ,11 ,15 ,15 ,0.10 ,0.41 ,0.45 ,0.70 ,0.21 ,0.29 ,0.29 
私立,專業群科,設計群,6450 ,16 ,70 ,73 ,91 ,8 ,14 ,38 ,0.25 ,1.09 ,1.13 ,1.41 ,0.12 ,0.22 ,0.59 
私立,專業群科,食品群,209 ,0 ,11 ,5 ,6 ,1 ,0 ,1 ,0.00 ,5.26 ,2.39 ,2.87 ,0.48 ,0.00 ,0.48 
私立,專業群科,家政群,5947 ,32 ,27 ,172 ,16 ,21 ,5 ,25 ,0.54 ,0.45 ,2.89 ,0.27 ,0.35 ,0.08 ,0.42 
私立,專業群科,餐旅群,17704 ,63 ,344 ,565 ,84 ,31 ,46 ,73 ,0.36 ,1.94 ,3.19 ,0.47 ,0.18 ,0.26 ,0.41 
私立,專業群科,海事群,55 ,0 ,0 ,3 ,0 ,2 ,0 ,0 ,0.00 ,0.00 ,5.45 ,0.00 ,3.64 ,0.00 ,0.00 
私立,專業群科,藝術群,2983 ,9 ,34 ,41 ,73 ,5 ,25 ,25 ,0.30 ,1.14 ,1.37 ,2.45 ,0.17 ,0.84 ,0.84 
私立,專業群科,綜合,443 ,34 ,0 ,92 ,0 ,19 ,2 ,17 ,7.67 ,0.00 ,20.77 ,0.00 ,4.29 ,0.45 ,3.84 
私立,綜合高中,學術群,1410 ,1 ,6 ,6 ,21 ,0 ,0 ,9 ,0.07 ,0.43 ,0.43 ,1.49 ,0.00 ,0.00 ,0.64 
私立,綜合高中,動力機械群,16 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0.00 ,6.25 ,6.25 ,0.00 ,0.00 ,0.00 ,0.00 
私立,綜合高中,電機與電子群,523 ,1 ,8 ,2 ,1 ,1 ,2 ,4 ,0.19 ,1.53 ,0.38 ,0.19 ,0.19 ,0.38 ,0.76 
私立,綜合高中,化工群,173 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,綜合高中,商業與管理群,954 ,0 ,22 ,9 ,7 ,2 ,2 ,0 ,0.00 ,2.31 ,0.94 ,0.73 ,0.21 ,0.21 ,0.00 
私立,綜合高中,外語群,793 ,0 ,1 ,3 ,5 ,0 ,8 ,1 ,0.00 ,0.13 ,0.38 ,0.63 ,0.00 ,1.01 ,0.13 
私立,綜合高中,設計群,435 ,1 ,2 ,2 ,1 ,2 ,0 ,1 ,0.23 ,0.46 ,0.46 ,0.23 ,0.46 ,0.00 ,0.23 
私立,綜合高中,家政群,388 ,1 ,2 ,5 ,1 ,0 ,0 ,1 ,0.26 ,0.52 ,1.29 ,0.26 ,0.00 ,0.00 ,0.26 
私立,綜合高中,餐旅群,1025 ,2 ,42 ,18 ,4 ,1 ,2 ,1 ,0.20 ,4.10 ,1.76 ,0.39 ,0.10 ,0.20 ,0.10 
私立,綜合高中,藝術群,9 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0.00 ,33.33 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,綜合高中,綜合,236 ,0 ,2 ,7 ,4 ,0 ,0 ,0 ,0.00 ,0.85 ,2.97 ,1.69 ,0.00 ,0.00 ,0.00 
私立,實用技能學程,機械群,90 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0.00 ,1.11 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
私立,實用技能學程,動力機械群,1257 ,2 ,109 ,39 ,5 ,4 ,0 ,9 ,0.16 ,8.67 ,3.10 ,0.40 ,0.32 ,0.00 ,0.72 
私立,實用技能學程,電機與電子群,475 ,6 ,26 ,17 ,1 ,0 ,0 ,1 ,1.26 ,5.47 ,3.58 ,0.21 ,0.00 ,0.00 ,0.21 
私立,實用技能學程,商業與管理群,632 ,5 ,11 ,27 ,10 ,0 ,1 ,3 ,0.79 ,1.74 ,4.27 ,1.58 ,0.00 ,0.16 ,0.47 
私立,實用技能學程,農業群,40 ,0 ,0 ,8 ,1 ,1 ,0 ,0 ,0.00 ,0.00 ,20.00 ,2.50 ,2.50 ,0.00 ,0.00 
私立,實用技能學程,食品群,192 ,3 ,1 ,26 ,0 ,0 ,0 ,0 ,1.56 ,0.52 ,13.54 ,0.00 ,0.00 ,0.00 ,0.00 
私立,實用技能學程,餐旅群,3090 ,9 ,95 ,168 ,9 ,12 ,0 ,34 ,0.29 ,3.07 ,5.44 ,0.29 ,0.39 ,0.00 ,1.10 
私立,實用技能學程,美容造型群,1118 ,7 ,7 ,64 ,5 ,8 ,1 ,6 ,0.63 ,0.63 ,5.72 ,0.45 ,0.72 ,0.09 ,0.54 
私立,進修部,普通科,277 ,0 ,6 ,3 ,2 ,0 ,0 ,52 ,0.00 ,2.17 ,1.08 ,0.72 ,0.00 ,0.00 ,18.77 
私立,進修部,機械群,140 ,0 ,3 ,8 ,0 ,0 ,0 ,1 ,0.00 ,2.14 ,5.71 ,0.00 ,0.00 ,0.00 ,0.71 
私立,進修部,動力機械群,691 ,0 ,61 ,32 ,0 ,0 ,0 ,1 ,0.00 ,8.83 ,4.63 ,0.00 ,0.00 ,0.00 ,0.14 
私立,進修部,電機與電子群,458 ,1 ,40 ,15 ,6 ,3 ,0 ,2 ,0.22 ,8.73 ,3.28 ,1.31 ,0.66 ,0.00 ,0.44 
私立,進修部,商業與管理群,1429 ,5 ,44 ,71 ,8 ,10 ,1 ,47 ,0.35 ,3.08 ,4.97 ,0.56 ,0.70 ,0.07 ,3.29 
私立,進修部,外語群,243 ,0 ,12 ,12 ,0 ,0 ,2 ,2 ,0.00 ,4.94 ,4.94 ,0.00 ,0.00 ,0.82 ,0.82 
私立,進修部,設計群,386 ,0 ,11 ,27 ,2 ,2 ,2 ,4 ,0.00 ,2.85 ,6.99 ,0.52 ,0.52 ,0.52 ,1.04 
私立,進修部,家政群,1279 ,7 ,19 ,26 ,21 ,2 ,4 ,11 ,0.55 ,1.49 ,2.03 ,1.64 ,0.16 ,0.31 ,0.86 
私立,進修部,餐旅群,3521 ,19 ,167 ,207 ,21 ,9 ,3 ,28 ,0.54 ,4.74 ,5.88 ,0.60 ,0.26 ,0.09 ,0.80 
私立,進修部,藝術群,169 ,1 ,9 ,15 ,0 ,0 ,0 ,0 ,0.59 ,5.33 ,8.88 ,0.00 ,0.00 ,0.00 ,0.00 
